$ [qdt_kol001] [2015 - 2048],
$ [qdt_kol001],
JDAY,Q (M3/S)
1712,0.012
1713,0.0117
1714,0.0115
1715,0.0114
1716,0.0111
1717,0.0109
1718,0.0108
1719,0.0106
1720,0.0104
1721,0.0102
1722,0.0101
1723,0.0098
1724,0.0097
1725,0.0095
1726,0.0094
1727,0.0093
1728,0.009
1729,0.0089
1730,0.0088
1731,0.0086
1732,0.0084
1733,0.0083
1734,0.0082
1735,0.008
1736,0.0079
1737,0.0077
1738,0.0076
1739,0.0075
1740,0.0074
1741,0.0073
1742,0.0072
1743,0.007
1744,0.0069
1745,0.0068
1746,0.0067
1747,0.0066
1748,0.0064
1749,0.0063
1750,0.0062
1751,0.0061
1752,0.006
1753,0.0059
1754,0.0057
1755,0.0057
1756,0.0056
1757,0.0055
1758,0.0054
1759,0.0053
1760,0.0053
1761,0.0052
1762,0.005
1763,0.0049
1764,0.0049
1765,0.0048
1766,0.0047
1767,0.0046
1768,0.0046
1769,0.0045
1770,0.0045
1771,0.0043
1772,0.0042
1773,0.0042
1774,0.0041
1775,0.004
1776,0.004
1777,0.0039
1778,0.0039
1779,0.0038
1780,0.0038
1781,0.0036
1782,0.0036
1783,0.0035
1784,0.0035
1785,0.0034
1786,0.0034
1787,0.0033
1788,0.0033
1789,0.0032
1790,0.0032
1791,0.003
1792,0.003
1793,0.0029
1794,0.0029
1795,0.0028
1796,0.0028
1797,0.0028
1798,0.0027
1799,0.0027
1800,0.0026
1801,0.0026
1802,0.0026
1803,0.0025
1804,0.0025
1805,0.0025
1806,0.0023
1807,0.0023
1808,0.0023
1809,0.0022
1810,0.0022
1811,0.0022
1812,0.0021
1813,0.0021
1814,0.0021
1815,0.002
1816,0.002
1817,0.002
1818,0.0019
1819,0.0019
1820,0.0019
1821,0.0019
1822,0.0018
1823,0.0018
1824,0.0018
1825,0.0018
1826,0.0016
1827,0.0016
1828,0.0016
1829,0.0016
1830,0.0015
1831,0.0015
1832,0.0015
1833,0.0015
1834,0.0109
1835,0.0163
1836,0.0161
1837,0.0158
1838,0.0155
1839,0.0237
1840,0.0233
1841,0.0229
1842,0.0225
1843,0.0222
1844,0.0218
1845,0.0213
1846,0.021
1847,0.0206
1848,0.0203
1849,0.0199
1850,0.0196
1851,0.0193
1852,0.019
1853,0.0264
1854,0.0259
1855,0.0273
1856,0.0351
1857,0.0386
1858,0.0462
1859,0.0518
